Average User Rating,User Rating Count,Price,Languages,Size,Update_Gap,Name,Subtitle,age_rating,Puzzle,Simulation,Action,Board,In-app Purchases
4.0,45686.0,0.0,1.0,92408832.0,3285.0,0,0,4,0.0,0.0,0.0,0.0,1
2.5,1096.0,0.0,1.0,70583296.0,2389.0,1,0,4,0.0,0.0,1.0,0.0,0
3.0,203.0,1.99,3.0,8246272.0,3347.0,0,0,4,0.0,0.0,0.0,0.0,0
2.5,39.0,0.0,1.0,18537472.0,3166.0,0,0,4,1.0,0.0,0.0,0.0,0
2.5,2117.0,0.0,4.0,18915328.0,2588.0,0,0,4,0.0,0.0,0.0,0.0,1
3.5,12215.0,0.0,3.0,50012160.0,3414.0,0,1,4,0.0,0.0,0.0,0.0,1
3.5,6230.0,1.99,1.0,12067083.0,143.0,0,0,9,0.0,0.0,1.0,0.0,1
3.5,579.0,1.99,1.0,157129465.0,879.0,0,0,12,0.0,0.0,1.0,0.0,1
4.0,1550.0,4.99,6.0,257059840.0,2653.0,0,0,9,0.0,0.0,0.0,1.0,1
4.0,2303.0,3.99,1.0,219693056.0,2595.0,0,0,9,0.0,0.0,1.0,0.0,0
4.0,1638.0,0.0,1.0,57462784.0,1191.0,0,0,4,0.0,0.0,0.0,1.0,1
4.0,6839.0,0.0,4.0,214619136.0,3387.0,0,0,4,0.0,0.0,0.0,0.0,1
3.0,2738.0,0.0,1.0,10511989.0,655.0,0,0,4,0.0,1.0,0.0,0.0,1
5.0,5.0,1.99,2.0,22065152.0,2399.0,0,0,4,0.0,0.0,0.0,1.0,0
4.5,227.0,19.99,9.0,64207872.0,3303.0,0,0,4,0.0,0.0,0.0,1.0,0
4.0,184.0,2.99,1.0,17022757.0,272.0,0,0,4,1.0,0.0,0.0,0.0,0
