,Average User Rating,User Rating Count,Price,In-app Purchases,Languages,Size,Update_Gap,Name,Subtitle,age_rating,GenreList,Puzzle,Simulation,Action,Board
189,3.5,30,0.99,,1,63169536,2738 days 00:00:00.000000000,0,0,9,  Casual    ,0,0,0,0
190,3,297,1.99,,1,3898368,2502 days 00:00:00.000000000,0,0,4,      Puzzle,1,0,0,0
191,4,893,3.99,,2,43512832,3512 days 00:00:00.000000000,0,0,4,  Card    ,0,0,0,0
192,2.5,240,0,0.99,1,6322647,321 days 00:00:00.000000000,0,0,4,  Board  ,0,0,0,1
193,3,1471,0.99,,2,331237376,2126 days 00:00:00.000000000,0,0,4,Reference      Adventure,0,0,0,0
194,3.5,123,3.99,,1,36946944,3250 days 00:00:00.000000000,0,0,12,  Board    ,0,0,0,1
195,2.5,6630,0,,1,8592384,2848 days 00:00:00.000000000,0,1,4,  Puzzle    ,1,0,0,0
196,3.5,158,0,0.99,1,1202176,3340 days 00:00:00.000000000,0,1,4,  Action  ,0,0,1,0
197,2.5,3183,0,,1,6794240,2493 days 00:00:00.000000000,0,0,4,      Puzzle,1,0,0,0
198,4,26674,0.99,,1,37340259,1078 days 00:00:00.000000000,0,0,17,      Action,0,0,1,0
199,3.5,17409,0,"3.99, 1.99, 1.99",4,211776512,3506 days 00:00:00.000000000,0,1,4,  Card  ,0,0,0,0
200,4,84,0.99,,1,7619584,2161 days 00:00:00.000000000,0,0,4,    Puzzle  ,1,0,0,0
201,5,7,0.99,,1,13151232,2487 days 00:00:00.000000000,0,0,17,  Board    ,0,0,0,1
202,3.5,286,0.99,,1,14863724,407 days 00:00:00.000000000,0,0,9,      Board,0,0,0,1
203,3,1620,0,,1,11439792,900 days 00:00:00.000000000,0,0,4,    Card,0,0,0,0
204,3.5,37435,0,,1,11333632,1838 days 00:00:00.000000000,0,0,4,    Puzzle  ,1,0,0,0
205,4,532,0.99,,1,19387392,2272 days 00:00:00.000000000,0,0,12,  Simulation    ,0,1,0,0
206,2,18,0,,1,6556139,63 days 00:00:00.000000000,0,0,4,    Puzzle  ,1,0,0,0
207,4,836,0,,2,24859648,2833 days 00:00:00.000000000,0,0,4,  Education  Board  ,0,0,0,1
208,3.5,13618,0,2.99,1,25593921,1065 days 00:00:00.000000000,0,0,4,  Lifestyle  Simulation  ,0,1,0,0
209,4,64,0.99,,2,53878784,1746 days 00:00:00.000000000,0,0,4,  Puzzle    ,1,0,0,0
210,4,184,0.99,"0.99, 0.99",5,56263680,2265 days 00:00:00.000000000,0,0,9,      Casual,0,0,0,0
